室外温度,湿球温度,总负荷,month,weekday,day,hour,minute,is_holiday
12.14,9.4,0,1,6,1,0,0,1
12.08,9.35,0,1,6,1,0,10,1
12,9.31,0,1,6,1,0,20,1
11.92,9.24,0,1,6,1,0,30,1
11.84,9.18,0,1,6,1,0,40,1
11.73,9.1,0,1,6,1,0,50,1
11.73,9.12,0,1,6,1,1,0,1
11.66,9.1,0,1,6,1,1,10,1
11.58,9.04,0,1,6,1,1,20,1
11.59,9.02,0,1,6,1,1,30,1
11.59,9.03,0,1,6,1,1,40,1
11.6,9.03,0,1,6,1,1,50,1
11.59,9.04,0,1,6,1,2,0,1
11.53,8.96,0,1,6,1,2,10,1
11.46,8.94,0,1,6,1,2,20,1
11.39,8.95,0,1,6,1,2,30,1
11.33,8.84,0,1,6,1,2,40,1
11.24,8.77,0,1,6,1,2,50,1
11.18,8.76,0,1,6,1,3,0,1
11.1,8.66,0,1,6,1,3,10,1
11.06,8.66,0,1,6,1,3,20,1
11.07,8.7,0,1,6,1,3,30,1
11.06,8.71,0,1,6,1,3,40,1
11.06,8.73,0,1,6,1,3,50,1
11.05,8.73,0,1,6,1,4,0,1
11.06,8.72,0,1,6,1,4,10,1
11.05,8.72,0,1,6,1,4,20,1
11.07,8.74,0,1,6,1,4,30,1
10.97,8.75,0,1,6,1,4,40,1
11.06,8.75,0,1,6,1,4,50,1
11.05,8.75,0,1,6,1,5,0,1
11.06,8.76,0,1,6,1,5,10,1
11.06,8.76,0,1,6,1,5,20,1
11.05,8.68,0,1,6,1,5,30,1
10.97,8.65,0,1,6,1,5,40,1
10.88,8.57,0,1,6,1,5,50,1
10.76,8.53,0,1,6,1,6,0,1
10.65,8.45,0,1,6,1,6,10,1
10.66,8.42,0,1,6,1,6,20,1
10.65,8.41,0,1,6,1,6,30,1
10.66,8.44,0,1,6,1,6,40,1
10.65,8.45,0,1,6,1,6,50,1
10.57,8.38,0,1,6,1,7,0,1
10.52,8.37,0,1,6,1,7,10,1
10.43,8.35,0,1,6,1,7,20,1
