室外温度,湿球温度,总负荷,month,weekday,day,hour,minute,is_holiday
16.73,15.08,0.0,3,2,1,6,30,0
16.73,15.06,877.26,3,2,1,6,40,0
16.61,15.01,1587.08,3,2,1,6,50,0
16.47,14.97,1512.35,3,2,1,7,0,0
16.67,15.03,1118.22,3,2,1,7,10,0
16.76,15.09,1021.15,3,2,1,7,20,0
16.85,15.2,1156.54,3,2,1,7,30,0
16.87,15.2,1101.16,3,2,1,7,40,0
17.08,15.47,1186.4,3,2,1,7,50,0
17.14,15.46,1050.5,3,2,1,8,0,0
17.33,15.61,103.94,3,2,1,8,10,0
17.54,15.65,137.98,3,2,1,8,20,0
17.72,15.74,263.1,3,2,1,8,30,0
17.81,15.82,1050.66,3,2,1,8,40,0
17.96,15.87,1124.25,3,2,1,8,50,0
18.18,15.99,1026.58,3,2,1,9,0,0
18.32,15.93,984.58,3,2,1,9,10,0
18.57,16.1,969.42,3,2,1,9,20,0
18.83,16.44,815.72,3,2,1,9,30,0
18.97,16.41,946.12,3,2,1,9,40,0
19.36,16.59,979.02,3,2,1,9,50,0
19.5,16.65,950.27,3,2,1,10,0,0
19.91,16.84,1094.02,3,2,1,10,10,0
19.98,16.83,1181.55,3,2,1,10,20,0
20.06,16.82,939.35,3,2,1,10,30,0
20.48,16.92,1032.54,3,2,1,10,40,0
20.84,17.06,1056.62,3,2,1,10,50,0
21.35,17.21,1173.26,3,2,1,11,0,0
21.76,17.39,1176.62,3,2,1,11,10,0
22.15,17.51,992.71,3,2,1,11,20,0
22.53,17.7,931.51,3,2,1,11,30,0
23.0,17.86,1117.37,3,2,1,11,40,0
23.05,17.82,969.41,3,2,1,11,50,0
23.19,17.73,971.42,3,2,1,12,0,0
23.55,18.02,1076.05,3,2,1,12,10,0
24.16,18.18,982.0,3,2,1,12,20,0
24.34,18.14,1118.1,3,2,1,12,30,0
24.68,18.1,1066.32,3,2,1,12,40,0
24.96,18.29,1203.28,3,2,1,12,50,0
24.97,18.14,1034.73,3,2,1,13,0,0
25.09,18.04,1129.84,3,2,1,13,10,0
25.09,17.97,1105.72,3,2,1,13,20,0
25.09,17.99,1500.14,3,2,1,13,30,0
25.09,17.92,2001.52,3,2,1,13,40,0
25.09,17.89,2304.3,3,2,1,13,50,0
25.19,17.95,1961.68,3,2,1,14,0,0
25.35,18.03,1616.02,3,2,1,14,10,0
25.22,17.98,1255.32,3,2,1,14,20,0
25.22,18.0,1038.68,3,2,1,14,30,0
25.28,17.87,1077.26,3,2,1,14,40,0
25.23,17.75,1052.83,3,2,1,14,50,0
25.37,17.65,988.06,3,2,1,15,0,0
